x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
-3.2356079,3.633585,39742_451_F4_2,19,Centrosome,ISM2,ENSG00000100593,U-2 OS , 15 , 14.1646 , 6074.6667 , 12.888 , 1.7333 , 228.6242 , 11.4667 , 2.3115 , 11.5392
-3.8124826,4.2039266,40236_424_B3_2,19,Centrosome,STK32A,ENSG00000169302,A-431 , 17 , 4.6349 , 7667.8824 , 6.6721 , 0 , 276.2752 , 2.9412 , 4.1592 , 55.7857
-3.8057234,4.1720734,40236_424_B3_1,19,Centrosome,STK32A,ENSG00000169302,A-431 , 12 , 5.7471 , 6535 , 9.0881 , 0 , 237.5512 , 3.4167 , 2.6728 , 14.1278
-3.692205,4.1041245,40236_418_B3_2,19,Centrosome,STK32A,ENSG00000169302,U-2 OS , 16 , 4.4733 , 7150 , 6.8663 , 0 , 270.9395 , 2.9375 , 3.4658 , 28.354
-3.70625,4.132069,40236_418_B3_1,19,Centrosome,STK32A,ENSG00000169302,U-2 OS , 17 , 4.2604 , 7065.4706 , 6.9317 , 0 , 272.7161 , 2.6471 , 3.3161 , 23.8468
-3.870954,4.2195582,40236_1396_A8_4,19,Centrosome,STK32A,ENSG00000169302,RT4 , 69 , 1.8478 , 3966.5217 , 2.9641 , 0 , 157.1781 , 0.04348 , 2.3247 , 7.6405
-3.8735335,4.2150197,40236_1396_A8_2,19,Centrosome,STK32A,ENSG00000169302,RT4 , 59 , 1.7488 , 5664.678 , 2.8666 , 0 , 217.2427 , 0 , 2.4851 , 8.8801
-3.2030807,3.173129,40004_429_E9_4,19,Centrosome,CAPS2,ENSG00000180881,U-251 MG , 15 , 37.7243 , 6579.9333 , 18.3093 , 28.9333 , 241.9544 , 34.8667 , 1.5651 , 6.6353
-3.5180867,3.4870965,40004_429_E9_3,19,Centrosome,CAPS2,ENSG00000180881,U-251 MG , 12 , 31.1527 , 5532.3333 , 19.7268 , 23.25 , 220.4992 , 27.75 , 2.3337 , 11.2823
-3.0888922,3.6393445,39742_451_F4_1,19,Centrosome,ISM2,ENSG00000100593,U-2 OS , 14 , 11.7659 , 8215.3571 , 11.3653 , 0 , 319.4293 , 9.0714 , 2.3396 , 11.0151
-3.0987144,4.0818567,40599_485_H10_3,19,Centrosome,FOPNL,ENSG00000133393,U-251 MG , 10 , 12.9129 , 7545.2 , 12.5807 , 0.9 , 271.774 , 10.3 , 2.6655 , 14.5347
-2.1051278,3.7878356,39715_552_A1_2,19,Centrosome,DCTN2,ENSG00000175203,U-251 MG , 13 , 16.7345 , 6109.3846 , 15.108 , 1.0769 , 244.8522 , 13.5385 , 2.0564 , 8.561
-2.2366107,3.8680148,39715_552_A1_1,19,Centrosome,DCTN2,ENSG00000175203,U-251 MG , 21 , 12.5373 , 5700.0952 , 12.1688 , 0.4286 , 224.5278 , 9.6667 , 2.2373 , 10.0714
-2.1617997,3.7714696,39715_534_A1_2,19,Centrosome,DCTN2,ENSG00000175203,U-2 OS , 16 , 14.5237 , 6823.9375 , 12.0099 , 2.25 , 262.403 , 11.9375 , 1.5949 , 4.6219
-2.046278,3.6885018,39715_534_A1_1,19,Centrosome,DCTN2,ENSG00000175203,U-2 OS , 19 , 14.6077 , 7035.1579 , 11.3559 , 4.1053 , 276.4262 , 12.1053 , 1.4581 , 3.6112
-3.4457862,3.8396626,39475_1177_A9_8,19,Centrosome,RAPSN,ENSG00000165917,RH-30 , 26 , 7.1607 , 6315.6538 , 7.7592 , 0.07692 , 233.1564 , 5.3077 , 2.2959 , 9.7288
-3.5156949,3.9271994,39475_1177_A9_6,19,Centrosome,RAPSN,ENSG00000165917,RH-30 , 25 , 6.883 , 6859.12 , 6.5863 , 0.24 , 261.7054 , 5.6 , 1.8235 , 6.1812
-3.7508855,4.09881,39408_481_C1_2,19,Centrosome,CEP152,ENSG00000103995,U-251 MG , 22 , 8.674 , 6195.0909 , 9.9196 , 0 , 236.9736 , 6.9091 , 2.5681 , 16.1831
-3.806351,4.092847,39408_481_C1_1,19,Centrosome,CEP152,ENSG00000103995,U-251 MG , 17 , 7.7122 , 5824.0588 , 8.5872 , 0 , 216.3374 , 5.9412 , 2.2278 , 11.5718
-3.4528751,4.1957803,40599_485_H10_2,19,Centrosome,FOPNL,ENSG00000133393,U-251 MG , 9 , 13.8858 , 6303.8889 , 13.9184 , 1.6667 , 246.4996 , 10.8889 , 2.4041 , 12.1658
-3.0431724,3.5773928,40599_494_H10_1,19,Centrosome,FOPNL,ENSG00000133393,U-2 OS , 15 , 21.6814 , 7678.8667 , 20.3767 , 0 , 306.1934 , 17.0667 , 2.5932 , 12.4516
-3.704018,4.1763034,38933_416_C12_1,19,Centrosome,C11orf80,ENSG00000173715,U-251 MG , 14 , 11.0027 , 6006.2143 , 9.9779 , 5.2143 , 227.3324 , 9.4286 , 2.1905 , 12.6849
-2.6348178,3.9114835,41709_469_E6_2,19,Centrosome,FKBP11,ENSG00000134285,U-251 MG , 21 , 12.7922 , 5632.7619 , 11.8624 , 3.8095 , 210.1417 , 9.9524 , 2.1807 , 8.9081
-3.2070043,4.098117,41941_476_D2_2,19,Centrosome,TERB2,ENSG00000167014,U-2 OS , 27 , 14.5104 , 7191.6296 , 16.7674 , 0 , 272.9863 , 10.3333 , 3.3124 , 19.2919
-3.4837136,4.1374826,41941_476_D2_1,19,Centrosome,TERB2,ENSG00000167014,U-2 OS , 27 , 12.5378 , 6482.4074 , 14.0266 , 0 , 249.7375 , 9.0741 , 2.6018 , 12.0175
-3.617399,4.187099,41941_472_D2_2,19,Centrosome,TERB2,ENSG00000167014,A-431 , 13 , 11.2981 , 8978.3846 , 7.7032 , 8.8462 , 306.9322 , 10.4615 , 2.4103 , 19.5989
-3.6300557,4.150355,41941_472_D2_1,19,Centrosome,TERB2,ENSG00000167014,A-431 , 9 , 10.9113 , 8772.7778 , 7.49 , 7.6667 , 308.849 , 9.5556 , 1.4923 , 5.3542
-3.4590135,4.205467,41941_469_D2_3,19,Centrosome,TERB2,ENSG00000167014,U-251 MG , 18 , 5.5801 , 6366.4444 , 8.8031 , 0 , 246.908 , 2.5556 , 2.9499 , 18.197
