x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
7.2552953,-1.3551092,63745_1132_E10_1,23,Mitochondria,SFXN1,ENSG00000164466,U-2 OS , 12 , 16.2901 , 7791 , 20.2321 , 0 , 300.1569 , 8.9167 , 2.4178 , 8.62
7.410399,-1.3791481,63745_1132_E10_4,23,Mitochondria,SFXN1,ENSG00000164466,U-2 OS , 12 , 11.1625 , 6743.6667 , 16.3717 , 0 , 269.5498 , 5.6667 , 3.3071 , 14.7751
6.3354096,-1.5818714,63745_1139_E10_2,23,Mitochondria,SFXN1,ENSG00000164466,A549 , 19 , 15.981 , 5486.6316 , 19.0566 , 2.0526 , 213.1161 , 10.1579 , 2.9994 , 14.0135
6.3595104,-1.4461972,63745_1139_E10_3,23,Mitochondria,SFXN1,ENSG00000164466,A549 , 15 , 19.2801 , 6026.3333 , 22.3551 , 5.4667 , 231.5408 , 12.3333 , 3.0032 , 12.8241
7.425269,-2.0006683,64099_1261_D3_1,23,Mitochondria,TM9SF4,ENSG00000101337,CACO-2 , 32 , 12.0599 , 7871.5938 , 17.0396 , 0.0625 , 276.0618 , 6.2812 , 2.9662 , 12.5299
7.4203053,-1.8769935,64099_1174_H1_3,23,Mitochondria,TM9SF4,ENSG00000101337,U-2 OS , 34 , 16.2677 , 6542.4118 , 22.2179 , 0.8529 , 244.3064 , 8.5 , 3.092 , 14.6512
7.4772406,-1.9258103,64099_1174_H1_2,23,Mitochondria,TM9SF4,ENSG00000101337,U-2 OS , 27 , 15.7548 , 6799.5556 , 23.7771 , 0 , 258.4185 , 6.5556 , 2.9708 , 12.6222
6.7331266,-1.2641364,64099_1164_H1_2,23,Mitochondria,TM9SF4,ENSG00000101337,SiHa , 17 , 19.8875 , 5717.2353 , 26.0642 , 0 , 231.0581 , 11.5882 , 2.9663 , 12.2525
6.8653283,-1.3191416,64099_1164_H1_1,23,Mitochondria,TM9SF4,ENSG00000101337,SiHa , 15 , 10.8872 , 6058.8 , 14.0957 , 0 , 246.6184 , 6.8 , 3.0303 , 15.898
7.1744018,-1.6966155,64013_1254_G5_2,23,Mitochondria,MAIP1,ENSG00000162972,CACO-2 , 45 , 5.3117 , 6965.5333 , 9.302 , 0 , 243.4286 , 2.0444 , 4.309 , 31.9075
